page_id,page_title,rev_id,time
1761811,Beleg_van_Wachtendonk_(1605),18821028,20091101110308
4917185,Gaston_II_van_Foix-Béarn,50460757,20171130140209
2152854,Kanton_Wetteren,25090947,20110403202112
782067,Newport_County_AFC,6985721,20070216113339
791482,T._Hawk,7067009,20070223034603
1934902,Zuzana_Kučová,21593870,20100617114025
24433,Germanisme,105079,20031006181321
4386099,Hans_Warnau,44885335,20150912185342
899047,UEFA_Intertoto_Cup_1999,8268348,20070608160613
1015673,Bethel_(Minnesota),9340398,20070915105552
3049268,Roemeense_kampioenschappen_schaatsen_allround,34837687,20130211133507
3041718,Tomasz_Bednarek,34668863,20130201201938
895751,Crocidura_pachyura,8236167,20070605164845
4401509,Fernand_Naeyaert,45135000,20151019110111
4771217,Karmelietessen_van_het_Goddelijk_Hart_van_Jezus,48455188,20170122180545
1008765,Zeigler,9302856,20070912184910
4428313,Willem_Hendrik_Vogel,45562171,20151218192605
1014531,Hagerstown_(Maryland),9335067,20070914214918
1382365,Christiaan_Frankenhout,13474218,20080813181729
1563274,Resolutie_576_Veiligheidsraad_Verenigde_Naties,15674306,20090215200156
2814863,Let_Me_In_(film),30554444,20120501181208
13580,537,51953,20030606022527
1416134,Guy_Simonds,13974490,20080924234629
12485,Naamloze_vennootschap,44339,20030521132249
910558,Aphrodisia,8359211,20070617074454
1885540,Kosai,20714992,20100409213947
1703291,Benzotriazool,17977647,20090823170131
4097732,Amor_en_Psyche_(Capitolijnse_Musea),42718344,20141210210942
811004,"Suddenly,_Last_Summer",7285733,20070312205719
4454465,WTA-toernooi_van_Straatsburg_2007,45976242,20160209211053
513397,Minnertsga,4008365,20060519135253
1673549,Nigaz,17462739,20090705101249
4821252,WTA-toernooi_van_Straatsburg_2017,49180662,20170527160423
2733137,Cinder_Cone,29231917,20120126170426
3285128,Peruviaanse_algemene_verkiezingen_2006,36672677,20130324172948
309032,Beleg_van_Querétaro,2479466,20051130213313
1852716,Lijst_van_rijksmonumenten_in_Oostelbeers,20221843,20100227171139
990276,Zeeboontje,9187467,20070903142214
851084,Tríona_Ní_Dhomhnaill,7745271,20070421142118
4384011,August_Abrahamsen,44852036,20150907100717
1291033,Ludwig_Galerie_Schloss_Oberhausen,12357733,20080514140121
917704,Waaggebouwen_in_Friesland,8421873,20070622123444
2279426,De_Lichtstraal,26595985,20110724160330
901396,Gyrus_angularis,8285470,20070610085311
2155674,Wolvenburg,25140727,20110407204145
2937750,Interlands_San_Marinees_voetbalelftal_2000-2009,32769658,20120915110648
4098966,Samson_and_Delilah_(1996),42737169,20141213122407
3838984,Tamlyn_Tomita,39375854,20131107163953
1016986,Winona_(Mississippi),9343571,20070915152847
4367123,DFL-Supercup_2015,44568449,20150720141906
653629,Messerschmitt_Bf_108,5583460,20061024174952
4438511,Golf_Cup_of_Nations_1996,45726062,20160110115111
5065725,Positive_Vibrations_(album_Ten_Years_After),51679406,20180524121336
17184,Dionysius_Exiguus,69850,20030723015145
46707,Porcupine_Tree,222593,20040314211901
3906650,Motor_Car_Corner_Cemetery,40336377,20140206154424
5098450,Wereldkampioenschap_voetbal_2018_(Groep_A)_Uruguay_-_Rusland,52169360,20180830194234
122957,Howard_Shore,732860,20050112154011
1215305,René_Iché,11498415,20080302133510
2795226,Wapen_van_Delfzijl,30193148,20120401224501
2522037,Ahantafrankolijn,28092302,20111112155404
1611662,Wijken_en_buurten_in_Winterswijk,16448731,20090417202053
1804134,LEGO_Dino_Attack,19452227,20091227120239
4040883,Graaf_van_Surrey,41882640,20140815182252
406065,Randazzo,3309431,20060305201510
